12:19:13.231; 0; Start of recording
12:20:16.714; 83; MiniFactory/Right/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'GR2_CB1_TO_PM', 'product_at': 'CB1'}, 'CB1': {'status': 'END'}, 'GR2': {'status': 'TO_DESTINATION'}}}
12:20:19.364; 84; MiniFactory/Right/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'GR2_CB1_TO_PM', 'product_at': 'CB1'}, 'CB1': {'status': 'END'}, 'GR2': {'status': 'GET_PRODUCT'}}}
12:20:21.632; 85; MiniFactory/Right/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'GR2_CB1_TO_PM', 'product_at': 'CB1'}, 'CB1': {'status': 'END'}, 'GR2': {'status': 'GRIPPING'}}}
12:20:24.806; 86; MiniFactory/Right/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'GR2_CB1_TO_PM', 'product_at': 'GR2'}, 'CB1': {'status': 'END'}, 'GR2': {'status': 'GRIPPING'}}}
12:20:24.827; 87; MiniFactory/Right/Factory/MachineStatus/Data; {'CB1': ['FREE', 'None']}
12:20:24.828; 88; MiniFactory/Right/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'GR2_CB1_TO_PM', 'product_at': 'GR2'}, 'GR2': {'status': 'MOVING'}}}
12:20:33.263; 89; MiniFactory/Right/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'GR2_CB1_TO_PM', 'product_at': 'GR2'}, 'GR2': {'status': 'TO_DESTINATION'}}}
12:20:35.191; 90; MiniFactory/Right/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'GR2_CB1_TO_PM', 'product_at': 'GR2'}, 'GR2': {'status': 'RELEASE'}}}
12:20:35.696; 91; MiniFactory/Right/Factory/MachineStatus/Data; {'PM': ['RUNNING', 'Line1s']}
12:20:35.698; 92; MiniFactory/Right/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'PM', 'product_at': 'GR2'}, 'GR2': {'status': 'TO_MOVING_POS'}}}
12:20:35.715; 93; MiniFactory/Right/Factory/MachineStatus/Data; {'GR2_CB1_TO_PM': ['BLOCKED', 'Line1s']}
12:20:35.717; 94; MiniFactory/Right/Factory/MachineStatus/Data; {'GR2_PM_TO_CB3': ['WAITING', 'Line1s']}
12:20:35.718; 95; MiniFactory/Right/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'PM', 'product_at': 'CB2'}, 'GR2': {'status': 'TO_MOVING_POS'}, 'PM': {'status': None}, 'CB2': {'status': 'RUN'}}}
12:20:37.863; 96; MiniFactory/Right/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'PM', 'product_at': 'CB2'}, 'GR2': {'status': 'MOVING'}, 'PM': {'status': None}, 'CB2': {'status': 'RUN'}}}
12:20:39.270; 97; MiniFactory/Right/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'PM', 'product_at': 'PM'}, 'GR2': {'status': 'MOVING'}, 'PM': {'status': 'START'}, 'CB2': {'status': 'RUN'}}}
12:20:39.289; 98; MiniFactory/Right/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'PM', 'product_at': 'PM'}, 'GR2': {'status': 'MOVING'}, 'PM': {'status': 'CB_TO_PUNCH'}, 'CB2': {'status': 'RUN'}}}
12:20:39.390; 99; MiniFactory/Right/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'PM', 'product_at': 'PM'}, 'GR2': {'status': 'TO_DESTINATION'}, 'PM': {'status': 'CB_TO_PUNCH'}, 'CB2': {'status': 'RUN'}}}
12:20:43.609; 100; MiniFactory/Right/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'PM', 'product_at': 'PM'}, 'GR2': {'status': 'TO_DESTINATION'}, 'PM': {'status': 'PUNCHING'}, 'CB2': {'status': 'RUN'}}}
12:20:44.231; 101; MiniFactory/Right/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'PM', 'product_at': 'PM'}, 'GR2': {'status': 'TO_DESTINATION'}, 'PM': {'status': 'CB_TO_OUT'}, 'CB2': {'status': 'RUN'}}}
12:20:46.904; 102; MiniFactory/Right/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'PM', 'product_at': 'CB2'}, 'GR2': {'status': 'TO_DESTINATION'}, 'PM': {'status': 'CB_TO_OUT'}, 'CB2': {'status': 'RUN'}}}
12:20:51.786; 103; MiniFactory/Right/Factory/MachineStatus/Data; {'GR2_PM_TO_CB3': ['RUNNING', 'Line1s']}
12:20:51.787; 104; MiniFactory/Right/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'GR2_PM_TO_CB3', 'product_at': 'CB2'}, 'GR2': {'status': 'TO_DESTINATION'}, 'PM': {'status': 'END'}, 'CB2': {'status': 'END'}}}
12:20:51.806; 105; MiniFactory/Right/Factory/MachineStatus/Data; {'PM': ['FREE', 'None']}
12:20:51.807; 106; MiniFactory/Right/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'GR2_PM_TO_CB3', 'product_at': 'CB2'}, 'GR2': {'status': 'GET_PRODUCT'}, 'CB2': {'status': 'END'}}}
12:20:53.693; 107; MiniFactory/Right/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'GR2_PM_TO_CB3', 'product_at': 'CB2'}, 'GR2': {'status': 'GRIPPING'}, 'CB2': {'status': 'END'}}}
12:20:56.224; 108; MiniFactory/Right/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'GR2_PM_TO_CB3', 'product_at': 'GR2'}, 'GR2': {'status': 'GRIPPING'}, 'CB2': {'status': 'END'}}}
12:20:56.244; 109; MiniFactory/Right/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'GR2_PM_TO_CB3', 'product_at': 'GR2'}, 'GR2': {'status': 'TO_MOVING_POS'}}}
12:20:56.283; 110; MiniFactory/Right/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'GR2_PM_TO_CB3', 'product_at': 'GR2'}, 'GR2': {'status': 'MOVING'}}}
12:21:00.803; 111; MiniFactory/Right/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'GR2_PM_TO_CB3', 'product_at': 'GR2'}, 'GR2': {'status': 'TO_DESTINATION'}}}
12:21:02.693; 112; MiniFactory/Right/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'GR2_PM_TO_CB3', 'product_at': 'GR2'}, 'GR2': {'status': 'RELEASE'}}}
12:21:03.138; 113; MiniFactory/Right/Factory/MachineStatus/Data; {'CB3': ['RUNNING', 'Line1s']}
12:21:03.140; 114; MiniFactory/Right/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'CB3', 'product_at': 'GR2'}, 'GR2': {'status': 'INIT'}}}
12:21:03.167; 115; MiniFactory/Right/Factory/MachineStatus/Data; {'VG1': ['RUNNING', 'Line1s']}
12:21:03.168; 116; MiniFactory/Right/Factory/MachineStatus/Data; {'VG1_STORE': ['BLOCKED', 'Line1s']}
12:21:03.170; 117; MiniFactory/Right/Factory/MachineStatus/Data; {'VG1_RETRIEVE': ['BLOCKED', 'Line1s']}
12:21:03.171; 118; MiniFactory/Right/Factory/MachineStatus/Data; {'WH': ['RUNNING', 'Line1s']}
12:21:03.173; 119; MiniFactory/Right/Factory/MachineStatus/Data; {'WH_STORE': ['BLOCKED', 'Line1s']}
12:21:03.174; 120; MiniFactory/Right/Factory/MachineStatus/Data; {'WH_RETRIEVE': ['BLOCKED', 'Line1s']}
12:21:03.177; 121; MiniFactory/Right/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'CB3', 'product_at': 'CB3'}, 'GR2': {'status': 'INIT'}, 'CB3': {'status': 'RUN'}, 'VG1': {'status': 'INIT'}, 'WH': {'status': 'INIT'}}}
12:21:03.340; 122; MiniFactory/Right/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'CB3', 'product_at': 'CB3'}, 'GR2': {'status': 'INIT'}, 'CB3': {'status': 'RUN'}, 'VG1': {'status': 'INIT'}, 'WH': {'status': 'MOVING_TO_RACK'}}}
12:21:03.381; 123; MiniFactory/Right/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'CB3', 'product_at': 'CB3'}, 'GR2': {'status': 'INIT'}, 'CB3': {'status': 'RUN'}, 'VG1': {'status': 'TO_DESTINATION'}, 'WH': {'status': 'MOVING_TO_RACK'}}}
12:21:06.599; 124; MiniFactory/Right/Factory/MachineStatus/Data; {'CB4': ['BLOCKED', 'Line1s']}
12:21:06.600; 125; MiniFactory/Right/Factory/MachineStatus/Data; {'CB4_TO_WH': ['RUNNING', 'Line1s']}
12:21:06.601; 126; MiniFactory/Right/Factory/MachineStatus/Data; {'CB4_TO_CB5': ['BLOCKED', 'Line1s']}
12:21:06.602; 127; MiniFactory/Right/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'CB4_TO_WH', 'product_at': 'CB3'}, 'GR2': {'status': 'INIT'}, 'CB3': {'status': 'RUN'}, 'VG1': {'status': 'TO_DESTINATION'}, 'WH': {'status': 'MOVING_TO_RACK'}}}
