11:57:21.332; 0; Start of recording
11:59:44.066; 127; MiniFactory/Left/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'WH_STORE', 'product_at': 'WH'}, 'WH': {'status': 'MOVING_TO_RACK'}}}
11:59:48.929; 128; MiniFactory/Left/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'WH_STORE', 'product_at': 'WH'}, 'WH': {'status': 'SETTING_PRODUCT'}}}
11:59:56.129; 129; MiniFactory/Left/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'END', 'product_at': 'WH'}, 'WH': {'status': 'INIT'}}}
11:59:56.196; 130; MiniFactory/Left/Factory/FactoryStatus/Data; {'line_ended': {'name': 'Line1s', 'at': 'WH_STORE'}}
11:59:56.198; 131; MiniFactory/Left/Factory/FactoryStatus/Data; {'line_started': {'name': 'Line2w', 'at': 'WH_RETRIEVE'}}
11:59:56.200; 132; MiniFactory/Left/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'END', 'product_at': 'END'}, 'WH': {'status': 'INIT'}}}
11:59:56.200; 133; MiniFactory/Left/Factory/LineStatus/Data; {'Line2w': {'self': {'state': 'INIT', 'product_at': None}, 'waiting_for': 'WH_RETRIEVE'}}
12:00:02.828; 134; MiniFactory/Left/Factory/MachineStatus/Data; {'VG1': ['RUNNING', 'Line2w']}
12:00:02.881; 135; MiniFactory/Left/Factory/MachineStatus/Data; {'VG1_STORE': ['BLOCKED', 'Line2w']}
12:00:02.882; 136; MiniFactory/Left/Factory/MachineStatus/Data; {'VG1_RETRIEVE': ['BLOCKED', 'Line2w']}
12:00:02.884; 137; MiniFactory/Left/Factory/MachineStatus/Data; {'WH': ['BLOCKED', 'Line2w']}
12:00:02.884; 138; MiniFactory/Left/Factory/MachineStatus/Data; {'WH_STORE': ['BLOCKED', 'Line2w']}
12:00:02.884; 139; MiniFactory/Left/Factory/MachineStatus/Data; {'WH_RETRIEVE': ['RUNNING', 'Line2w']}
12:00:02.884; 140; MiniFactory/Left/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'END', 'product_at': 'END'}}}
12:00:02.884; 141; MiniFactory/Left/Factory/LineStatus/Data; {'Line2w': {'self': {'state': 'WH_RETRIEVE', 'product_at': None}, 'WH': {'status': 'INIT'}, 'VG1': {'status': 'INIT'}}}
12:00:02.890; 142; MiniFactory/Left/Factory/FactoryStatus/Data; {'line_stopped': 'Line1s'}
