14:00:26.898; 63; MiniFactory/Right/Factory/LineStatus/Data; {'Line4w': {'self': {'state': 'WH_RETRIEVE', 'product_at': 'WH'}, 'WH': {'status': 'MOVING_TO_CB'}, 'VG1': {'status': 'TO_DESTINATION'}}}
14:00:31.234; 64; MiniFactory/Right/Factory/LineStatus/Data; {'Line1': {'self': {'state': 'GR1', 'product_at': 'GR1'}, 'GR1': {'status': 'TO_MOVING_POS'}, 'MPS': {'status': 'INIT'}}}
14:00:31.288; 65; MiniFactory/Right/Factory/LineStatus/Data; {'Line4w': {'self': {'state': 'WH_RETRIEVE', 'product_at': 'WH'}, 'WH': {'status': 'SETTING_PRODUCT'}, 'VG1': {'status': 'TO_DESTINATION'}}}
14:00:31.329; 66; MiniFactory/Right/Factory/LineStatus/Data; {'Line1': {'self': {'state': 'GR1', 'product_at': 'GR1'}, 'GR1': {'status': 'MOVING'}, 'MPS': {'status': 'INIT'}}}
14:00:32.361; 67; MiniFactory/Right/Factory/LineStatus/Data; {'Line1': {'self': {'state': 'GR1', 'product_at': 'GR1'}, 'GR1': {'status': 'TO_DESTINATION'}, 'MPS': {'status': 'INIT'}}}
14:00:34.916; 68; MiniFactory/Right/Factory/LineStatus/Data; {'Line4w': {'self': {'state': 'WH_RETRIEVE', 'product_at': 'WH'}, 'WH': {'status': 'CB_BWD'}, 'VG1': {'status': 'TO_DESTINATION'}}}
14:00:35.718; 69; MiniFactory/Right/Factory/MachineStatus/Data; {'VG1': ['BLOCKED', 'Line4w']}
14:00:35.772; 70; MiniFactory/Right/Factory/MachineStatus/Data; {'VG1_RETRIEVE': ['RUNNING', 'Line4w']}
14:00:35.773; 71; MiniFactory/Right/Factory/LineStatus/Data; {'Line4w': {'self': {'state': 'VG1_RETRIEVE', 'product_at': 'WH'}, 'WH': {'status': 'INIT'}, 'VG1': {'status': 'TO_DESTINATION'}}}
14:00:35.773; 72; MiniFactory/Right/Factory/LineStatus/Data; {'Line4w': {'self': {'state': 'VG1_RETRIEVE', 'product_at': 'WH'}, 'WH': {'status': 'INIT'}, 'VG1': {'status': 'GET_PRODUCT'}}}
14:00:37.031; 73; MiniFactory/Right/Factory/LineStatus/Data; {'Line4w': {'self': {'state': 'VG1_RETRIEVE', 'product_at': 'WH'}, 'WH': {'status': 'INIT'}, 'VG1': {'status': 'GRIPPING'}}}
14:00:39.028; 74; MiniFactory/Right/Factory/LineStatus/Data; {'Line4w': {'self': {'state': 'VG1_RETRIEVE', 'product_at': 'WH'}, 'WH': {'status': 'INIT'}, 'VG1': {'status': 'TO_DESTINATION'}}}
14:00:40.187; 75; MiniFactory/Right/Factory/LineStatus/Data; {'Line1': {'self': {'state': 'GR1', 'product_at': 'GR1'}, 'GR1': {'status': 'RELEASE'}, 'MPS': {'status': 'INIT'}}}
14:00:41.010; 76; MiniFactory/Right/Factory/LineStatus/Data; {'Line1': {'self': {'state': 'MPS', 'product_at': 'GR1'}, 'GR1': {'status': 'INIT'}, 'MPS': {'status': 'INIT'}}}
